doc_section;SKU
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_de_instalare_utilizare_si_montaj_for_400-500-600-700-800-1000-1500-24-220V.pdf"" target=""_blank"">
  Manual de instalare/montaj FORT in Romana
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/FORT_CE_CERTIFICATE.pdf"" target=""_blank"">
  Certificat Conformitate Fort
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/PROGRAMARE_COMUNELLO_FORT_24V_230V.pdf"" target=""_blank"">
  Ghid de programare RAPIDA Fort in Romana
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_de_utilizare_pentru_telecomenzi_comunello_Victor.pdf"" target=""_blank"">
  Manual Utilizare Telecomenzi Victor in Romana
</a></div></div></div>";MIX10COMUNELLO
;KIT-DAHUA16-5MPLED40
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div></div></div>";SAF-KITIPC8EXTP-POE
;KITIP-8X-5MP880POE
;KITIP-8X-4MP2830POE
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://appstore.hikvision.com/"" target=""_blank"">
  Descarca HIK-CONNECT -ANDROID
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/hik-connect/id1087803190"" target=""_blank"">
  Descarca HIK-CONNECT -iOS(APPLE)
</a></div></div></div>";KITINT16-s2
;KIT-DAHUA8-5MPLED40
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><!--  --></div><div><a class=""no-underline"" href=""https://a2t.ro/c/m/s/calculator-hdd-stocare-camere-video"" target=""_blank"">
  Calculator stocare DVR
</a></div></div></div>";SAF16XPRODM5MP20
;KITIP-8X-2MP2830POE
;KITIP-4X-2MP480ACC-A
;KITIP-8X-4MP420POE
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div></div></div>";KITITP1
;KITIP-4X-2MP480HDD-A
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KITSAF-16X-5MP28I40
